,spread_3m10y,spread_2y10y,cpi_yoy,core_cpi_yoy,pce,unemployment,gdp_yoy,breakeven_5y,recession_prob,y_3m,y_5y,y_10y,y_30y,unemp_delta,spread_3m10y_lag1,spread_3m10y_lag3,spread_2y10y_lag1,spread_2y10y_lag3,cpi_yoy_lag1,cpi_yoy_lag3,core_cpi_yoy_lag1,core_cpi_yoy_lag3,breakeven_5y_lag1,breakeven_5y_lag3,gdp_yoy_lag1,gdp_yoy_lag3,breakeven_gap,inversion_flag,inversion_duration,regime
1997-05-01,1.71,0.45,2.237851662404089,2.5454545454545396,1.6933943148266017,4.9,,,0.14,,,,,-0.2999999999999998,1.44,1.34,0.43,0.47,2.434336963484962,3.0322580645161246,2.6123936816524918,2.499999999999991,,,6.8,,,0,0,Deflation
1997-06-01,1.26,0.43,2.233567326100827,2.41837968561065,1.8251291774616263,5.0,,,0.14,,,,,-0.20000000000000018,1.71,1.57,0.45,0.47,2.237851662404089,2.7652733118971096,2.5454545454545396,2.4330900243308973,,,,,,0,0,Deflation
1997-07-01,0.77,0.28,2.165605095541401,2.4140012070005934,1.6710718257579193,4.9,5.1,,0.14,,,,,-0.1999999999999993,1.26,1.44,0.43,0.43,2.233567326100827,2.434336963484962,2.41837968561065,2.6123936816524918,,,,6.8,,0,0,Goldilocks
1997-08-01,1.1,0.37,2.2900763358778775,2.2891566265060392,1.6550510078928937,4.8,,,0.08,,,,,-0.10000000000000053,0.77,1.71,0.28,0.45,2.165605095541401,2.237851662404089,2.4140012070005934,2.5454545454545396,,,5.1,,,0,0,Deflation
1997-09-01,1.06,0.32,2.21940393151554,2.2222222222222143,1.6129728485302142,4.9,,,0.08,,,,,-0.09999999999999964,1.1,1.26,0.37,0.43,2.2900763358778775,2.233567326100827,2.2891566265060392,2.41837968561065,,,,,,0,0,Deflation
1997-10-01,0.63,0.21,2.0859671302149163,2.278177458033559,1.4388386004676512,4.7,3.5,,0.06,,,,,-0.20000000000000018,1.06,0.77,0.32,0.28,2.21940393151554,2.165605095541401,2.2222222222222143,2.4140012070005934,,,,5.1,,0,0,Goldilocks
1997-11-01,0.64,0.1,1.8903591682419618,2.1531100478469067,1.2644451763492937,4.6,,,0.08,,,,,-0.20000000000000018,0.63,1.1,0.21,0.37,2.0859671302149163,2.2900763358778775,2.278177458033559,2.2891566265060392,,,3.5,,,0,0,Deflation
1997-12-01,0.39,0.09,1.6970458830924073,2.270011947431283,1.1256686786623504,4.7,,,0.08,,,,,-0.20000000000000018,0.64,1.06,0.1,0.32,1.8903591682419618,2.21940393151554,2.1531100478469067,2.2222222222222143,,,,,,0,0,Deflation
1998-01-01,0.34,0.21,1.6311166875784044,2.264600715137055,1.0442111277765953,4.6,4.1,,0.1,,,,,-0.10000000000000053,0.39,0.63,0.09,0.21,1.6970458830924073,2.0859671302149163,2.270011947431283,2.278177458033559,,,,3.5,,0,0,Goldilocks
1998-02-01,0.3,0.07,1.440200375704448,2.2605591909577782,0.7811720431640357,4.6,,,0.08,,,,,0.0,0.34,0.64,0.21,0.1,1.6311166875784044,1.8903591682419618,2.264600715137055,2.1531100478469067,,,4.1,,,0,0,Deflation
